title,genre,director,cast
Spoiler Alert,"Comedy, Drama, Romance",Michael Showalter,"Jim Parsons, Ben Aldridge, Josh Pais, Allegra Heart"
The Darkest Minds,"Action, Adventure, Drama",Jennifer Yuh Nelson,"Amandla Stenberg, Mandy Moore, Bradley Whitford, Harris Dickinson"
Purple Rain,"Drama, Music, Romance",Albert Magnoli,"Prince, Apollonia Kotero, Morris Day, Olga Karlatos"
Mother's Day,"Comedy, Horror, Thriller",Charles Kaufman,"Tiana Pierce, Nancy Hendrickson, Deborah Luce, Frederick Coffin"
Mind Body Spirit,Horror,Alex Henes,"Matthew Merenda, Sarah J. Bartholomew, Madi Bready, KJ Flahive, Anna Knigge"
Eiga Doraemon: Nobita no Chikyû Symphony,"Animation, Adventure, Comedy",Kazuaki Imai,"Wasabi Mizuta, Megumi Ôhara, Yumi Kakazu, Subaru Kimura"
Choses secrètes,"Comedy, Drama, Fantasy",Jean-Claude Brisseau,"Coralie Revel, Sabrina Seyvecou, Roger Miremont, Fabrice Deville"
Surrogates,"Action, Sci-Fi, Thriller",Jonathan Mostow,"Bruce Willis, Radha Mitchell, Ving Rhames, Rosamund Pike"
Free Fire,"Action, Comedy, Crime",Ben Wheatley,"Sharlto Copley, Brie Larson, Armie Hammer, Cillian Murphy"
Open Water,"Adventure, Drama, Horror",Chris Kentis,"Blanchard Ryan, Daniel Travis, Saul Stein, Michael E. Williamson"
Five Easy Pieces,Drama,Bob Rafelson,"Jack Nicholson, Karen Black, Billy Green Bush, Fannie Flagg"
Appaloosa,"Action, Crime, Drama",Ed Harris,"Ed Harris, Viggo Mortensen, Renée Zellweger, Jeremy Irons"
The American President,"Comedy, Drama, Romance",Rob Reiner,"Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox"
Warning 2,"Action, Drama, Thriller",Amar Hundal,"Gippy Grewal, Prince Kanwaljit Singh, Jasmin Bhasin, Raghveer Boli"
Brother Orchid,"Comedy, Crime, Drama",Lloyd Bacon,"Edward G. Robinson, Humphrey Bogart, Ann Sothern, Donald Crisp"
Battle of the Sexes,"Biography, Comedy, Drama",Jonathan Dayton,"Valerie Faris, Emma Stone, Steve Carell, Andrea Riseborough, Sarah Silverman"
Fremont,Drama,Babak Jalali,"Anaita Wali Zada, Gregg Turkington, Jeremy Allen White, Hilda Schmelling"
Dead Shot,"Action, Thriller",Charles Guard,"Thomas Guard, Aml Ameen, Colin Morgan, Máiréad Tyers, Brian McCann"
The Bloody Hundredth,Documentary,Laurent Bouzereau,"Mark Herzog, Tom Hanks, Robert Rosenthal, Steven Spielberg, James Stewart"
Justice League: Warworld,"Animation, Action, Adventure",Jeff Wamester,"Jensen Ackles, Ike Amadi, Troy Baker, Matt Bomer"
Joan of Arc,"Adventure, Biography, Drama",Luc Besson,"Milla Jovovich, John Malkovich, Rab Affleck, Stéphane Algoud"
Lone Star,"Drama, Mystery, Western",John Sayles,"Chris Cooper, Elizabeth Peña, Stephen Mendillo, Stephen J. Lang"
Am I OK?,"Comedy, Drama, Romance",Stephanie Allynne,"Tig Notaro, Dakota Johnson, Sonoya Mizuno, Jermaine Fowler, Kiersey Clemons"
Going the Distance,"Comedy, Romance",Nanette Burstein,"Drew Barrymore, Justin Long, Ron Livingston, Charlie Day"
Our Friend,"Drama, Romance",Gabriela Cowperthwaite,"Jason Segel, Isabella Kai, Violet McGraw, Casey Affleck"
Bolero,"Comedy, Drama, Romance",John Derek,"Bo Derek, George Kennedy, Andrea Occhipinti, Ana Obregón"
Er ist wieder da,"Comedy, Drama, Fantasy",David Wnendt,"Oliver Masucci, Thomas M. Köppl, Marc-Marvin Israel, David Gebigke"
Flesh+Blood,"Adventure, Drama",Paul Verhoeven,"Rutger Hauer, Jennifer Jason Leigh, Tom Burlinson, Jack Thompson"
Kingsman: The Blue Blood,Action,Matthew Vaughn,"Taron Egerton, Colin Firth"
The Undefeated,"Action, Adventure, Drama",Andrew V. McLaglen,"John Wayne, Rock Hudson, Antonio Aguilar, Roman Gabriel"
Disturbing Behavior,"Horror, Mystery, Sci-Fi",David Nutter,"James Marsden, Katie Holmes, Nick Stahl, Tobias Mehler"
Doctor Dolittle,"Comedy, Family, Fantasy",Betty Thomas,"Eddie Murphy, Peter Boyle, Ossie Davis, Oliver Platt"
Radio,"Biography, Drama, Sport",Michael Tollin,"Cuba Gooding Jr., Ed Harris, Debra Winger, S. Epatha Merkerson"
The Wicker Man,"Horror, Mystery, Thriller",Neil LaBute,"Nicolas Cage, Ellen Burstyn, Leelee Sobieski, Kate Beahan"
The Transformers: The Movie,"Animation, Action, Adventure",Nelson Shin,"Orson Welles, Robert Stack, Leonard Nimoy, Norman Alden"
Local Hero,"Comedy, Drama",Bill Forsyth,"Burt Lancaster, Peter Riegert, Fulton Mackay, Denis Lawson"
"20,000 Leagues Under the Sea","Adventure, Drama, Family",Richard Fleischer,"Kirk Douglas, James Mason, Paul Lukas, Peter Lorre"
Capturing the Friedmans,"Documentary, Biography, Crime",Andrew Jarecki,"Arnold Friedman, Jesse Friedman, David Friedman, Elaine Friedman"
Timecop,"Action, Crime, Sci-Fi",Peter Hyams,"Jean-Claude Van Damme, Mia Sara, Ron Silver, Bruce McGill"
El mariachi,"Action, Crime, Thriller",Robert Rodriguez,"Carlos Gallardo, Consuelo Gómez, Jaime de Hoyos, Peter Marquardt"
The Vikings,"Action, Adventure, History",Richard Fleischer,"Kirk Douglas, Tony Curtis, Ernest Borgnine, Janet Leigh"
Dumbo,"Animation, Adventure, Drama",Samuel Armstrong,"Norman Ferguson, Wilfred Jackson, Jack Kinney, Bill Roberts, Ben Sharpsteen, John Elliotte, Sterling Holloway, Edward Brophy, Herman Bing, Billy Bletcher"
Big Stan,"Action, Comedy",Rob Schneider,"Rob Schneider, David Carradine, Sally Kirkland, Jennifer Morrison"
Peeping Tom,"Drama, Horror, Thriller",Michael Powell,"Karlheinz Böhm, Anna Massey, Moira Shearer, Maxine Audley"
The Garbage Pail Kids Movie,"Adventure, Comedy, Family",Rod Amateau,"Anthony Newley, Mackenzie Astin, Phil Fondacaro, Katie Barberi"
High-Rise,"Drama, Sci-Fi",Ben Wheatley,"Tom Hiddleston, Jeremy Irons, Sienna Miller, Luke Evans"
Joe,"Crime, Drama, Thriller",David Gordon Green,"Nicolas Cage, Tye Sheridan, Gary Poulter, Ronnie Gene Blevins"
The Baker,"Action, Crime, Drama",Jonathan Sobol,"Harvey Keitel, Ron Perlman, Elias Koteas, Joel David Moore"
Shaft,"Action, Comedy, Crime",Tim Story,"Samuel L. Jackson, Jessie T. Usher, Richard Roundtree, Regina Hall"
Colonia,"Biography, Drama, History",Florian Gallenberger,"Emma Watson, Daniel Brühl, Michael Nyqvist, Richenda Carey"
Plan 9 from Outer Space,"Horror, Sci-Fi",Edward D. Wood Jr.,"Gregory Walcott, Tom Keene, Mona McKinnon, Duke Moore"
Bakjwi,"Drama, Fantasy, Horror",Park Chan-wook,"Song Kang-ho, Kim Ok-bin, Choi Hee-jin, Seo Dong-soo"
The Gate,"Fantasy, Horror",Tibor Takács,"Stephen Dorff, Christa Denton, Louis Tripp, Kelly Rowan"
Girl with a Pearl Earring,"Biography, Drama, Romance",Peter Webber,"Scarlett Johansson, Colin Firth, Tom Wilkinson, Judy Parfitt"
Janet Planet,Drama,Annie Baker,"Zoe Ziegler, Luke Philip Bosco, June Walker Grossman, Abby Harri"
The Monster Squad,"Action, Comedy, Fantasy",Fred Dekker,"Andre Gower, Robby Kiger, Stephen Macht, Duncan Regehr"
Razakar: The Silent Genocide of Hyderabad,"Action, Drama, History",Yaata Satyanarayana,"Raj Arjun, Bobby Simha, Anasuya Bharadwaj, Vedhika"
À ma soeur!,Drama,Catherine Breillat,"Anaïs Reboux, Roxane Mesquida, Libero De Rienzo, Arsinée Khanjian"
Jing wu men,"Action, Drama, Romance",Wei Lo,"Bruce Lee, Nora Miao, James Tien, Maria Yi"
Arthur,"Comedy, Romance",Steve Gordon,"Dudley Moore, Liza Minnelli, John Gielgud, Geraldine Fitzgerald"
Blood Father,"Action, Crime, Drama",Jean-François Richet,"Mel Gibson, Erin Moriarty, Diego Luna, Michael Parks"
Bedknobs and Broomsticks,"Animation, Adventure, Comedy",Robert Stevenson,"Ward Kimball, Angela Lansbury, David Tomlinson, Roddy McDowall, Sam Jaffe"
United 93,"Action, Drama, History",Paul Greengrass,"David Alan Basche, Olivia Thirlby, Liza Colón-Zayas, J.J. Johnson"
Two Mules for Sister Sara,"Adventure, Drama, Romance",Don Siegel,"Clint Eastwood, Shirley MacLaine, Manolo Fábregas, Alberto Morin"
Calamity Jane,Western,Terry Miles,"Emily Bett Rickards, Stephen Amell, Primo Allon, Jana Berengel"
Grumpy Old Men,"Comedy, Drama, Romance",Donald Petrie,"Jack Lemmon, Walter Matthau, Ann-Margret, Burgess Meredith"
Roter Himmel,"Comedy, Drama, Romance",Christian Petzold,"Thomas Schubert, Paula Beer, Langston Uibel, Enno Trebs"
El conde,"Comedy, Fantasy, History",Pablo Larraín,"Jaime Vadell, Gloria Münchmeyer, Alfredo Castro, Paula Luchsinger"
Higher Learning,"Crime, Drama, Thriller",John Singleton,"Omar Epps, Kristy Swanson, Michael Rapaport, Jennifer Connelly"
Strike!,Comedy,Sarah Kernochan,"Kirsten Dunst, Lynn Redgrave, Gaby Hoffmann, Rachael Leigh Cook"
Rough Night,Comedy,Lucia Aniello,"Scarlett Johansson, Kate McKinnon, Zoë Kravitz, Ilana Glazer"
Happy Gilmore 2,"Comedy, Sport",Adam Sandler,
Abre los ojos,"Drama, Mystery, Sci-Fi",Alejandro Amenábar,"Eduardo Noriega, Penélope Cruz, Chete Lera, Fele Martínez"
Clue,"Animation, Comedy, Crime",James Bobin,"Ryan Reynolds, Jason Bateman"
Profondo rosso,"Horror, Mystery, Thriller",Dario Argento,"David Hemmings, Daria Nicolodi, Gabriele Lavia, Macha Méril"
Kubo and the Two Strings,"Animation, Action, Adventure",Travis Knight,"Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes"
The Hustler,"Drama, Sport",Robert Rossen,"Paul Newman, Jackie Gleason, Piper Laurie, George C. Scott"
Never Let Go,"Horror, Thriller",Alexandre Aja,"Halle Berry, Christin Park, Matthew Kevin Anderson, Stephanie Lavigne"
Star Trek: Section 31,"Action, Adventure, Drama",Olatunde Osunsanmi,"Michelle Yeoh, Humberly González, Sam Richardson, Kacey Rohl"
Acidman,"Drama, Sci-Fi",Alex Lehmann,"Dianna Agron, Thomas Haden Church, Sameerah Luqmaan-Harris, Miranda O'Brien"
WolfWalkers,"Animation, Action, Adventure",Tomm Moore,"Ross Stewart, Honor Kneafsey, Eva Whittaker, Sean Bean, Simon McBurney"
Little Monsters,"Adventure, Comedy, Family",Richard Greenberg,"Fred Savage, Howie Mandel, Daniel Stern, Margaret Whitton"
Salmon Fishing in the Yemen,"Comedy, Drama, Romance",Lasse Hallström,"Ewan McGregor, Emily Blunt, Amr Waked, Kristin Scott Thomas"
Obsessed,"Drama, Romance, Thriller",Steve Shill,"Beyoncé, Idris Elba, Ali Larter, Jerry O'Connell"
UglyDolls,"Animation, Adventure, Comedy",Kelly Asbury,"Kelly Clarkson, Nick Jonas, Janelle Monáe, Blake Shelton"
Brick,"Crime, Drama, Mystery",Rian Johnson,"Joseph Gordon-Levitt, Lukas Haas, Emilie de Ravin, Meagan Good"
Leap of Faith,"Comedy, Drama, Romance",Richard Pearce,"Steve Martin, Debra Winger, Lolita Davidovich, Liam Neeson"
Operation Petticoat,"Comedy, Romance, War",Blake Edwards,"Cary Grant, Tony Curtis, Joan O'Brien, Dina Merrill"
"Alice, Darling","Drama, Romance",Mary Nighy,"Anna Kendrick, Kaniehtiio Horn, Charlie Carrick, Wunmi Mosaku"
The Bonfire of the Vanities,"Comedy, Drama, Romance",Brian De Palma,"Tom Hanks, Bruce Willis, Melanie Griffith, Kim Cattrall"
Half Baked: Totally High,Comedy,Michael Tiddes,"Dexter Darden, Moses Storm, Ramona Young, Ash Santos"
The Invention of Lying,"Comedy, Fantasy, Romance",Ricky Gervais,"Matthew Robinson, Ricky Gervais, Jennifer Garner, Jonah Hill, Louis C.K."
Stand Up Guys,"Comedy, Crime, Thriller",Fisher Stevens,"Al Pacino, Christopher Walken, Alan Arkin, Julianna Margulies"
60 Minuten,"Action, Adventure, Drama",Oliver Kienle,"Emilio Sakraya, Dennis Mojen, Marie Mouroum, Paul Wollin"
The Getaway,"Action, Crime, Thriller",Sam Peckinpah,"Steve McQueen, Ali MacGraw, Ben Johnson, Sally Struthers"
Last Sentinel,"Drama, Horror, Sci-Fi",Tanel Toom,"Kate Bosworth, Lucien Laviscount, Martin McCann, Thomas Kretschmann"
The Hole,"Drama, Mystery, Thriller",Nick Hamm,"Thora Birch, Desmond Harrington, Daniel Brocklebank, Laurence Fox"
Hide and Seek,"Drama, Romance",Joanna Coates,"Josh O'Connor, Hannah Arterton, Rea Mole, Daniel Metz"
About Cherry,Drama,Stephen Elliott,"Ashley Hinshaw, James Franco, Heather Graham, Lili Taylor"
Late Bloomer,Drama,Roe Pajemna,"Robb Guinto, Erika Balagtas, Ardy Raymundo, Mikhael Padua"
Dumbo,"Adventure, Family, Fantasy",Tim Burton,"Colin Farrell, Michael Keaton, Danny DeVito, Eva Green"
To Leslie,Drama,Michael Morris,"Andrea Riseborough, Drew Youngblood, Tom Virtue, Lauren Letherer"
Marmalade,"Comedy, Crime, Drama",Keir O'Donnell,"Joe Keery, Camila Morrone, Aldis Hodge, Ozioma Akagha"
Pola X,"Drama, Romance",Leos Carax,"Guillaume Depardieu, Yekaterina Golubeva, Catherine Deneuve, Delphine Chuillot"
The Walking Dead,"Crime, Drama, Horror",Michael Curtiz,"Boris Karloff, Ricardo Cortez, Edmund Gwenn, Marguerite Churchill"
"Lovely, Dark, and Deep",Horror,Teresa Sutherland,"Georgina Campbell, Nick Blood, Wai Ching Ho, Mick Greer"
Spanglish,"Comedy, Drama, Romance",James L. Brooks,"Adam Sandler, Téa Leoni, Paz Vega, Cloris Leachman"
Ryû to sobakasu no hime,"Animation, Adventure, Drama",Mamoru Hosoda,"Kaho Nakamura, Ryo Narita, Shôta Sometani, Tina Tamashiro"
Set It Off,"Action, Crime, Drama",F. Gary Gray,"Jada Pinkett Smith, Queen Latifah, Vivica A. Fox, Kimberly Elise"
Legend of the Guardians: The Owls of Ga'Hoole,"Animation, Action, Adventure",Zack Snyder,"Jim Sturgess, Hugo Weaving, David Wenham, Emily Barclay"
Nicky Larson et le parfum de Cupidon,"Action, Comedy, Crime",Philippe Lacheau,"Philippe Lacheau, Élodie Fontan, Tarek Boudali, Julien Arruti"
Oddity,"Horror, Thriller",Damian Mc Carthy,"Gwilym Lee, Carolyn Bracken, Tadhg Murphy, Caroline Menton"
Drowning by Numbers,"Comedy, Drama",Peter Greenaway,"Bernard Hill, Joan Plowright, Juliet Stevenson, Joely Richardson"
Seul contre tous,"Crime, Drama, Thriller",Gaspar Noé,"Philippe Nahon, Blandine Lenoir, Frankie Pain, Martine Audrain"
A Haunted House,"Comedy, Fantasy, Horror",Michael Tiddes,"Marlon Wayans, Essence Atkins, Marlene Forte, David Koechner"
Ravenous,"Adventure, Drama, Horror",Antonia Bird,"Guy Pearce, Robert Carlyle, David Arquette, Jeremy Davies"
Swiss Family Robinson,"Adventure, Family",Ken Annakin,"John Mills, Dorothy McGuire, James MacArthur, Janet Munro"
The SpongeBob Movie: Search for SquarePants,"Animation, Adventure, Comedy",Derek Drymon,"Clancy Brown, Tom Kenny, Brian Doyle-Murray, Bill Fagerbakke"
Kill,"Action, Adventure, Drama",Nikhil Nagesh Bhat,"Lakshya, Raghav Juyal, Tanya Maniktala, Abhishek Chauhan"
Madea's Family Reunion,"Comedy, Drama, Romance",Tyler Perry,"Tyler Perry, Blair Underwood, Lynn Whitfield, Boris Kodjoe"
Hooper,"Action, Comedy",Hal Needham,"Burt Reynolds, Jan-Michael Vincent, Sally Field, Brian Keith"
Alligator,"Horror, Sci-Fi, Thriller",Lewis Teague,"Robert Forster, Robin Riker, Michael V. Gazzo, Dean Jagger"
22 July,"Biography, Crime, Drama",Paul Greengrass,"Anders Danielsen Lie, Jonas Strand Gravli, Jon Øigarden, Maria Bock"
Assassin,"Action, Crime, Thriller",Jesse Atlas,"Andy Allo, Nomzamo Mbatha, Bruce Willis, Dominic Purcell"
Dodgeball 2,Comedy,Vince Vaughn,
Invasion of the Body Snatchers,"Drama, Horror, Sci-Fi",Don Siegel,"Kevin McCarthy, Dana Wynter, Larry Gates, King Donovan"
Three,"Drama, Thriller",Stewart Raffill,"Billy Zane, Kelly Brook, Juan Pablo Di Pace, Todd Collins"
6 Hours Away,Action,Nicolás Di Blasi,"Roberto Sanchez, Lara Wolf, Guillermo Iván, Ariann Murad"
Das Cabinet des Dr. Caligari,"Horror, Mystery, Thriller",Robert Wiene,"Werner Krauss, Conrad Veidt, Friedrich Feher, Lil Dagover"
21 Rubies,Drama,Ciprian Mega,"Corina Moise, Mickey Rourke, Sebastian Balan, Daniel Buzdugan"
Le consentement,"Biography, Drama",Vanessa Filho,"Kim Higelin, Jean-Paul Rouve, Laetitia Casta, Élodie Bouchez"
Spooks: The Greater Good,"Action, Drama, Thriller",Bharat Nalluri,"Kit Harington, Peter Firth, Jennifer Ehle, Michael Wildman"
Akeelah and the Bee,"Drama, Family",Doug Atchison,"Angela Bassett, Laurence Fishburne, Keke Palmer, Curtis Armstrong"
Wag the Dog,"Comedy, Drama",Barry Levinson,"Dustin Hoffman, Robert De Niro, Anne Heche, Woody Harrelson"
Cult of Chucky,"Horror, Thriller",Don Mancini,"Allison Dawn Doiron, Alex Vincent, Brad Dourif, Fiona Dourif"
Balls of Fury,"Comedy, Crime, Sport",Robert Ben Garant,"Dan Fogler, Christopher Walken, George Lopez, Maggie Q"
The Ringer,"Comedy, Sport",Barry W. Blaustein,"Johnny Knoxville, Katherine Heigl, Brian Cox, Jed Rees"
172 Days,"Biography, Drama",Hadrah Daeng Ratu,"Yasmin Napper, Bryan Domani, Yoriko Angeline, Amara Sophie"
The Light Between Oceans,"Drama, Romance",Derek Cianfrance,"Michael Fassbender, Alicia Vikander, Rachel Weisz, Florence Clery"
Hytti nro 6,"Drama, Romance",Juho Kuosmanen,"Seidi Haarla, Yura Borisov, Dinara Drukarova, Yuliya Aug"
Short Cuts,"Comedy, Drama",Robert Altman,"Andie MacDowell, Julianne Moore, Tim Robbins, Bruce Davison"
The Cotton Club,"Crime, Drama, Music",Francis Ford Coppola,"Richard Gere, Gregory Hines, Diane Lane, Lonette McKee"
Slayers,"Comedy, Fantasy, Horror",K. Asher Levin,"Thomas Jane, Kara Hayward, Jack Donnelly, Lydia Hearst"
Project Almanac,"Drama, Mystery, Sci-Fi",Dean Israelite,"Amy Landecker, Sofia Black-D'Elia, Virginia Gardner, Jonny Weston"
State of Grace,"Action, Crime, Drama",Phil Joanou,"Sean Penn, Ed Harris, Gary Oldman, Robin Wright"
Cargo,"Drama, Horror, Sci-Fi",Ben Howling,"Yolanda Ramke, Simone Landers, Martin Freeman, Marlee Jane McPherson-Dobbins, Lily Anne McPherson-Dobbins"
Aloha,"Comedy, Drama, Romance",Cameron Crowe,"Bradley Cooper, Rachel McAdams, Emma Stone, Alec Baldwin"
Shayar,Drama,Uday Pratap Singh,"Neeru Bajwa, Satinder Sartaaj, Yograj Singh, Kewal Dhaliwal"
Phantasm,"Horror, Sci-Fi",Don Coscarelli,"A. Michael Baldwin, Bill Thornbury, Reggie Bannister, Kathy Lester"
13,"Crime, Drama, Thriller",Géla Babluani,"Sam Riley, Alice Barrett, Gaby Hoffmann, Jason Statham"
Virtuosity,"Action, Crime, Sci-Fi",Brett Leonard,"Denzel Washington, Russell Crowe, Kelly Lynch, Stephen Spinella"
Miracle in Cell No. 7,Drama,Mehmet Ada Öztekin,"Aras Bulut Iynemli, Nisa Sofiya Aksongur, Deniz Baysal, Celile Toyon Uysal"
Trespass,"Crime, Drama, Mystery",Joel Schumacher,"Nicolas Cage, Nicole Kidman, Cam Gigandet, Ben Mendelsohn"
The Grinch,"Animation, Comedy, Drama",Yarrow Cheney,"Scott Mosier, Benedict Cumberbatch, Cameron Seely, Rashida Jones, Pharrell Williams"
The Forbidden Kingdom,"Action, Adventure, Fantasy",Rob Minkoff,"Jackie Chan, Jet Li, Michael Angarano, Juana Collignon"
Young Hearts,"Drama, Family",Anthony Schatteman,"Lou Goossens, Marius De Saeger, Geert Van Rampelberg, Emilie De Roo"
Mayhem,"Action, Comedy, Horror",Joe Lynch,"Steven Yeun, Samara Weaving, Steven Brand, Caroline Chikezie"
My Cousin Rachel,"Drama, Mystery, Romance",Roger Michell,"Rachel Weisz, Sam Claflin, Holliday Grainger, Iain Glen"
Trudno byt bogom,"Drama, Sci-Fi",Aleksey German,"Leonid Yarmolnik, Aleksandr Chutko, Yuriy Tsurilo, Evgeniy Gerchakov"
Chained,"Crime, Drama, Horror",Jennifer Lynch,"Vincent D'Onofrio, Eamon Farren, Evan Bird, Julia Ormond"
Flatliners,"Drama, Horror, Mystery",Niels Arden Oplev,"Elliot Page, Diego Luna, Nina Dobrev, James Norton"
Lost Girls,"Crime, Drama, Mystery",Liz Garbus,"Amy Ryan, Thomasin McKenzie, Gabriel Byrne, Lola Kirke"
The First Purge,"Action, Horror, Sci-Fi",Gerard McMurray,"Y'lan Noel, Lex Scott Davis, Joivan Wade, Steve Harris"
True Crime,"Crime, Drama, Mystery",Clint Eastwood,"Clint Eastwood, Isaiah Washington, LisaGay Hamilton, James Woods"
Straw Dogs,"Action, Drama, Thriller",Rod Lurie,"James Marsden, Kate Bosworth, Alexander Skarsgård, James Woods"
Les enfants du paradis,"Drama, Romance",Marcel Carné,"Arletty, Jean-Louis Barrault, Pierre Brasseur, Pierre Renoir"
99 Homes,"Crime, Drama",Ramin Bahrani,"Andrew Garfield, Michael Shannon, Laura Dern, Clancy Brown"
The Delta Force,"Action, Adventure, Drama",Menahem Golan,"Chuck Norris, Lee Marvin, Martin Balsam, Joey Bishop"
Året jag slutade prestera och började onanera,"Comedy, Drama",Erika Wasserman,"Katia Winter, Jesper Zuschlag, Henrik Dorsin, Nour El-Refai"
Cosmopolis,"Crime, Drama, Fantasy",David Cronenberg,"Robert Pattinson, Juliette Binoche, Sarah Gadon, Mathieu Amalric"
Second Act,"Comedy, Drama, Romance",Peter Segal,"Jennifer Lopez, Vanessa Hudgens, Leah Remini, Treat Williams"
Dange,"Action, Drama",Bejoy Nambiar,"Harshvardhan Rane, Ehan Bhat, T.J. Bhanu, Nikita Dutta"
The Wolfman,"Drama, Fantasy, Horror",Joe Johnston,"Benicio Del Toro, Anthony Hopkins, Emily Blunt, Simon Merrells"
La cara oculta,"Drama, Mystery, Thriller",Andrés Baiz,"Quim Gutiérrez, Martina García, María Soledad Rodríguez, Jose Luis Garcia"
Moscow on the Hudson,"Comedy, Drama, Romance",Paul Mazursky,"Robin Williams, Maria Conchita Alonso, Cleavant Derricks, Alejandro Rey"
"Legally Blonde 2: Red, White & Blonde",Comedy,Charles Herman-Wurmfeld,"Reese Witherspoon, Sally Field, Bob Newhart, Regina King"
The Siege,"Action, Thriller",Edward Zwick,"Denzel Washington, Bruce Willis, Annette Bening, Tony Shalhoub"
La planète sauvage,"Animation, Sci-Fi",René Laloux,"Barry Bostwick, Jennifer Drake, Eric Baugin, Jean Topart"
The Donor Party,Comedy,Thom Harp,"Malin Akerman, Rob Corddry, Jerry O'Connell, Erinn Hayes"
Tiptoes,"Comedy, Drama, Romance",Matthew Bright,"Gary Oldman, Peter Dinklage, Kate Beckinsale, Matthew McConaughey"
The One,"Action, Sci-Fi, Thriller",James Wong,"Jet Li, Carla Gugino, Delroy Lindo, Jason Statham"
